"","V1","V2"
"benchmark",0.384993892856055,0.245192231606372
"金融行业",0.0649590245631582,0.0296900878341366
"房地产",-0.00617013887640593,-0.00305533975472914
"综合行业",0.0685573347539976,-0.0585957465228025
"电力行业",-0.0287289188088077,0.0326499876092672
"机械行业",0.0368858811543139,0.118182691537614
"有色金属",-0.0901652655682334,-0.0248809153467545
"农林牧渔",0.362292037945736,-0.0544868660669282
"电子信息",0.15367787816669,0.0532782890690601
"酒店旅游",0.170890330480002,0.0192724834909887
"家电行业",-0.0796251310833734,-0.0921500783929895
"传媒娱乐",-0.242090969098157,-0.128494019630872
"汽车制造",0.247192343872665,-0.12473574496211
"发电设备",0.305716061340827,0.107917373024119
"水泥行业",0.134141100012825,0.0359917192360298
"商业百货",0.454083929635844,0.0934615815175798
"电子器件",-0.183499402236115,-0.0301264495148118
"生物制药",0.100673369333631,0.0454955528995034
"农药化肥",-0.126733123704238,-0.00704686126922177
"酿酒行业",-0.252926290839369,-0.127501800262137
"环保行业",0.0862056597168372,0.02094478337976
"化工行业",0.0205448888692004,0.026967346598624
"钢铁行业",0.0595452724402973,-0.0214927702932224
"化纤行业",-0.09015986147166,0.0320511062668999
"煤炭行业",-0.0686998526904345,-0.0275235009793225
"飞机制造",-0.0223764371894044,-0.125966543129006
"建筑建材",-0.178088633999893,-0.0474759933925709
"食品行业",0.226358895499779,0.137307064792238
"次新股",1.45165687869813e-15,1.41394635416622e-17
"NaN",0.111631304467622,0.0241153159266923
"仪器仪表",0.168908975558438,0.0462154799349038
"服装鞋类",-0.70047833081544,0.00343467883490487
"家具行业",0.101734866823036,0.0944227704047304
"交通运输",-0.196283559692776,-0.0461574405441095
"其它行业",0.423868349528392,0.135427128478503
"印刷包装",-0.853269596761586,-0.184998965266998
"船舶制造",-0.0756868245007546,0.0479448662189232
"医疗器械",-0.0421053485975945,-0.0609934265369233
"石油行业",-0.165925695093796,-0.000968443045296282
"物资外贸",-0.29131716052359,-0.0350796102480669
"塑料制品",0.177204393759583,0.137948993835602
"玻璃行业",0.0219870661173925,-0.0534173877644839
"公路桥梁",-0.07742351081533,-0.0298556031678897
"电器行业",0.273366367456886,0.0818367489546114
"开发区",0.318524520047166,0.063793733117021
"供水供气",-0.317195799177396,-0.103346276870472
"MOM",-0.524838308815157,0.0741158513371749
"vol_volatility_1m",-0.632376592104588,0.250063837573619
"volatility_1m",-1.34284903749646,-0.25736245631211
"pe",-0.949024210094118,-0.304152896301254
"circ_mv",-0.363639205248439,-0.0522616283406929
"dv_ratio",0.0670327786908283,0.117025368321539
"shibor_1m",-0.135857240845105,-0.0984834271223708
"shibor_6m",-0.113704422358928,-0.100622170708394
"libor_1m",0.164965390669176,0.0911205987260639
"libor_6m",0.175640265455754,0.131859927935099
"shibor_lpr_1y",-0.187139452666264,-0.142311241717361
