"","V1"
"600000.CH",0
"600009.CH",0.0293004066094253
"600010.CH",0.0116801880459504
"600015.CH",0.00302487140966079
"600016.CH",-0.0166422060492221
"600028.CH",0.0297179575960273
"600029.CH",0.315749860536404
"600030.CH",0
"600031.CH",-0.031415093134898
"600036.CH",-0.00615588108163376
"600048.CH",-0.00925805287498397
"600066.CH",0
"600068.CH",-0.0493088329748763
"600085.CH",-0.0389827440875247
"600089.CH",0.0189148000141964
"600104.CH",0
"600109.CH",0.0293867278200384
"600111.CH",-0.0439845381413674
"600115.CH",0.251056861180841
"600118.CH",0.0226371582184577
"600170.CH",0
"600177.CH",0
"600188.CH",0.0621659681476885
"600196.CH",0
"600208.CH",0.0118114038183918
"600276.CH",0.0293595644467338
"600340.CH",0.0215914542373041
"600352.CH",-0.0460496198041323
"600362.CH",-0.014241685927242
"600372.CH",0.00293428908215967
"600383.CH",-0.0734721641566747
"600415.CH",0.749096733068572
"600489.CH",0.0290255500737269
"600519.CH",0.124898618813319
"600535.CH",0.0229582365483255
"600583.CH",0.0840098500457711
"600585.CH",-0.0252124417569672
"600588.CH",0
"600660.CH",0.0148652551201446
"600674.CH",0.0243838956902218
"600688.CH",0.224540021554964
"600703.CH",0
"600741.CH",0
"600837.CH",-0.0137131096202706
"600887.CH",0
"600893.CH",0
"600999.CH",-5.55220002366419e-06
"601006.CH",0.056427329749858
"601009.CH",0
"601111.CH",0
"601166.CH",0
"601169.CH",0
"601186.CH",-0.0132629350050658
"601288.CH",-0.00181614777785087
"601318.CH",-0.00642866005358224
"601328.CH",0.018433081307152
"601333.CH",0.0782243843182645
"601398.CH",0.00582308258609613
"601601.CH",-0.0136250841436463
"601607.CH",0.0469261590279078
"601628.CH",-0.041217224464602
"601668.CH",-0.020555409949419
"601688.CH",-0.015040821904398
"601800.CH",0.00685561537170739
"601818.CH",0.0269754021397947
"601857.CH",-0.0035174046698892
"601899.CH",0
"601901.CH",0
"601933.CH",0
"601939.CH",0.00262794877980139
"601988.CH",0.0210025504641379
"601998.CH",0.0191281165972221
"603993.CH",0
