"","w1"
"600519.SH","0.359817599526454"
"601318.SH","0.0762482152546042"
"600036.SH","0.060318917281178"
"601328.SH","0.0333756738798297"
"601288.SH","0.0281012255707285"
"601988.SH","0.0296067854278446"
"601857.SH","0.0182619161092457"
"600028.SH","0.32856637521452"
"601398.SH","0.0200185336301614"
"600104.SH","0.0193387107466819"
"601166.SH","0.0263460473587519"
"600000.SH","0"
"600009.SH","0"
"600010.SH","0"
"600015.SH","0"
"600016.SH","0"
"600029.SH","0"
"600030.SH","0"
"600031.SH","0"
"600048.SH","0"
"600066.SH","0"
"600068.SH","0"
"600085.SH","0"
"600089.SH","0"
"600109.SH","0"
"600111.SH","0"
"600115.SH","0"
"600118.SH","0"
"600170.SH","0"
"600177.SH","0"
"600188.SH","0"
"600196.SH","0"
"600208.SH","0"
"600276.SH","0"
"600340.SH","0"
"600352.SH","0"
"600362.SH","0"
"600372.SH","0"
"600383.SH","0"
"600415.SH","0"
"600489.SH","0"
"600535.SH","0"
"600583.SH","0"
"600585.SH","0"
"600588.SH","0"
"600660.SH","0"
"600674.SH","0"
"600688.SH","0"
"600703.SH","0"
"600741.SH","0"
"600837.SH","0"
"600887.SH","0"
"600893.SH","0"
"600999.SH","0"
"601006.SH","0"
"601009.SH","0"
"601111.SH","0"
"601169.SH","0"
"601186.SH","0"
"601333.SH","0"
"601601.SH","0"
"601607.SH","0"
"601628.SH","0"
"601668.SH","0"
"601688.SH","0"
"601800.SH","0"
"601818.SH","0"
"601899.SH","0"
"601901.SH","0"
"601933.SH","0"
"601939.SH","0"
"601998.SH","0"
"603993.SH","0"
