"","Ticker","symbol","Wgt_Port","Wgt_BM","Wgt_Act","X","Sct","Wgt_Port_adj"
"1","600000","600000.SH",0,0.01261,-0.01261,NA,NA,0
"2","600009","600009.SH",0,0.00476,-0.00476,NA,NA,0
"3","600010","600010.SH",0,0.00268,-0.00268,NA,NA,0
"4","600015","600015.SH",0,0.00466,-0.00466,NA,NA,0
"5","600016","600016.SH",0,0.01479,-0.01479,NA,NA,0
"6","600028","600028.SH",0.0621840324098873,0.00713,0.0550540324098873,NA,NA,0.0621840324098873
"7","600029","600029.SH",0,0.00245,-0.00245,NA,NA,0
"8","600030","600030.SH",0,0.01439,-0.01439,NA,NA,0
"9","600031","600031.SH",0,0.00498,-0.00498,NA,NA,0
"10","600036","600036.SH",0.0385469870217434,0.03016,0.00838698702174338,NA,NA,0.0385469870217434
"11","600048","600048.SH",0,0.0092,-0.0092,NA,NA,0
"12","600066","600066.SH",0,0.00154,-0.00154,NA,NA,0
"13","600068","600068.SH",0,0.00171,-0.00171,NA,NA,0
"14","600085","600085.SH",0,0.00145,-0.00145,NA,NA,0
"15","600089","600089.SH",0,0.00261,-0.00261,NA,NA,0
"16","600104","600104.SH",0.0453284399545863,0.00933,0.0359984399545863,NA,NA,0.0453284399545863
"17","600109","600109.SH",0,0.00185,-0.00185,NA,NA,0
"18","600111","600111.SH",0,0.00187,-0.00187,NA,NA,0
"19","600115","600115.SH",0,0.00198,-0.00198,NA,NA,0
"20","600118","600118.SH",0,0.00105,-0.00105,NA,NA,0
"21","600170","600170.SH",0,0.00142,-0.00142,NA,NA,0
"22","600177","600177.SH",0,0.00191,-0.00191,NA,NA,0
"23","600188","600188.SH",0,0.00079,-0.00079,NA,NA,0
"24","600196","600196.SH",0,0.00234,-0.00234,NA,NA,0
"25","600208","600208.SH",0,0.00122,-0.00122,NA,NA,0
"26","600276","600276.SH",0,0.01306,-0.01306,NA,NA,0
"27","600340","600340.SH",0,0.00492,-0.00492,NA,NA,0
"28","600352","600352.SH",0,0.00258,-0.00258,NA,NA,0
"29","600362","600362.SH",0,0.00138,-0.00138,NA,NA,0
"30","600372","600372.SH",0,0.00071,-0.00071,NA,NA,0
"31","600383","600383.SH",0,0.00248,-0.00248,NA,NA,0
"32","600415","600415.SH",0,0.00098,-0.00098,NA,NA,0
"33","600489","600489.SH",0,0.00137,-0.00137,NA,NA,0
"34","600519","600519.SH",0.0934352567218202,0.03469,0.0587452567218202,NA,NA,0.0934352567218202
"35","600535","600535.SH",0,0.00164,-0.00164,NA,NA,0
"36","600583","600583.SH",0,0.00116,-0.00116,NA,NA,0
"37","600585","600585.SH",0,0.0065,-0.0065,NA,NA,0
"38","600588","600588.SH",0,0.00231,-0.00231,NA,NA,0
"39","600660","600660.SH",0,0.00326,-0.00326,NA,NA,0
"40","600674","600674.SH",0,0.0016,-0.0016,NA,NA,0
"41","600688","600688.SH",0,0.00114,-0.00114,NA,NA,0
"42","600703","600703.SH",0,0.0024,-0.0024,NA,NA,0
"43","600741","600741.SH",0,0.00319,-0.00319,NA,NA,0
"44","600837","600837.SH",0,0.00817,-0.00817,NA,NA,0
"45","600887","600887.SH",0,0.01471,-0.01471,NA,NA,0
"46","600893","600893.SH",0,0.00198,-0.00198,NA,NA,0
"47","600999","600999.SH",0,0.00413,-0.00413,NA,NA,0
"48","601006","601006.SH",0,0.00509,-0.00509,NA,NA,0
"49","601009","601009.SH",0,0.00415,-0.00415,NA,NA,0
"50","601111","601111.SH",0,0.00246,-0.00246,NA,NA,0
"51","601166","601166.SH",0.0369987158777378,0.02046,0.0165387158777378,NA,NA,0.0369987158777378
"52","601169","601169.SH",0,0.00885,-0.00885,NA,NA,0
"53","601186","601186.SH",0,0.00465,-0.00465,NA,NA,0
"54","601288","601288.SH",0.075999584102272,0.01427,0.061729584102272,NA,NA,0.075999584102272
"55","601318","601318.SH",0.0426582982537593,0.0683,-0.0256417017462407,NA,NA,0.0426582982537593
"56","601328","601328.SH",0.0323671519246348,0.01719,0.0151771519246348,NA,NA,0.0323671519246348
"57","601333","601333.SH",0,0.00119,-0.00119,NA,NA,0
"58","601398","601398.SH",0.0937897010961406,0.01222,0.0815697010961406,NA,NA,0.0937897010961406
"59","601601","601601.SH",0,0.0097,-0.0097,NA,NA,0
"60","601607","601607.SH",0,0.00186,-0.00186,NA,NA,0
"61","601628","601628.SH",0,0.0038,-0.0038,NA,NA,0
"62","601668","601668.SH",0,0.01286,-0.01286,NA,NA,0
"63","601688","601688.SH",0,0.00626,-0.00626,NA,NA,0
"64","601800","601800.SH",0,0.0025,-0.0025,NA,NA,0
"65","601818","601818.SH",0,0.00652,-0.00652,NA,NA,0
"66","601857","601857.SH",0.0369767169673461,0.00593,0.0310467169673461,NA,NA,0.0369767169673461
"67","601899","601899.SH",0,0.00361,-0.00361,NA,NA,0
"68","601901","601901.SH",0,0.00252,-0.00252,NA,NA,0
"69","601933","601933.SH",0,0.00309,-0.00309,NA,NA,0
"70","601939","601939.SH",0,0.00475,-0.00475,NA,NA,0
"71","601988","601988.SH",0.0587759761079495,0.00776,0.0510159761079495,NA,NA,0.0587759761079495
"72","601998","601998.SH",0,0.00175,-0.00175,NA,NA,0
"73","603993","603993.SH",0,0.00272,-0.00272,NA,NA,0
