"","Ticker","SSVar","Wgt_Port","Wgt_BM","Wgt_Act","Rank"
"1","600519.SH",0.0402733677787207,0.0934352567218202,0.03469,0.0587452567218202,1
"2","601318.SH",0.0368253383823989,0.0426582982537593,0.0683,-0.0256417017462407,2
"3","600036.SH",0.0175415150017535,0.0385469870217434,0.03016,0.00838698702174338,3
"4","601328.SH",0.010437953509427,0.0323671519246348,0.01719,0.0151771519246348,4
"5","601288.SH",0.00702564775529885,0.075999584102272,0.01427,0.061729584102272,5
"6","601988.SH",0.00699640969841032,0.0587759761079495,0.00776,0.0510159761079495,6
"7","601857.SH",0.0063312905371268,0.0369767169673461,0.00593,0.0310467169673461,7
"8","600028.SH",0.00575356997431616,0.0621840324098873,0.00713,0.0550540324098873,8
"9","601398.SH",0.00515163459722903,0.0937897010961406,0.01222,0.0815697010961406,9
"10","600104.SH",0,0.0453284399545863,0.00933,0.0359984399545863,10.5
"11","601166.SH",0,0.0369987158777378,0.02046,0.0165387158777378,10.5
"12","600000.SH",0,0,0.01261,-0.01261,NA
"13","600009.SH",0.0195051137516394,0,0.00476,-0.00476,NA
"14","600010.SH",0.00623106150340258,0,0.00268,-0.00268,NA
"15","600015.SH",0.0133428908136204,0,0.00466,-0.00466,NA
"16","600016.SH",0.0124543309764871,0,0.01479,-0.01479,NA
"17","600029.SH",0.0237926830927411,0,0.00245,-0.00245,NA
"18","600030.SH",0,0,0.01439,-0.01439,NA
"19","600031.SH",0.0361671695302847,0,0.00498,-0.00498,NA
"20","600048.SH",0.037769572624313,0,0.0092,-0.0092,NA
"21","600066.SH",0,0,0.00154,-0.00154,NA
"22","600068.SH",0.0304767285407752,0,0.00171,-0.00171,NA
"23","600085.SH",0.0482833173892902,0,0.00145,-0.00145,NA
"24","600089.SH",0.0121860359162067,0,0.00261,-0.00261,NA
"25","600109.SH",0.0352575450594353,0,0.00185,-0.00185,NA
"26","600111.SH",0.014990607523335,0,0.00187,-0.00187,NA
"27","600115.SH",0.00820145766319214,0,0.00198,-0.00198,NA
"28","600118.SH",0.0216725849996437,0,0.00105,-0.00105,NA
"29","600170.SH",0,0,0.00142,-0.00142,NA
"30","600177.SH",0,0,0.00191,-0.00191,NA
"31","600188.SH",0.0185717171829913,0,0.00079,-0.00079,NA
"32","600196.SH",0,0,0.00234,-0.00234,NA
"33","600208.SH",0.0201086881078155,0,0.00122,-0.00122,NA
"34","600276.SH",0.0298751498302928,0,0.01306,-0.01306,NA
"35","600340.SH",0.0337458884266434,0,0.00492,-0.00492,NA
"36","600352.SH",0.0240567376083137,0,0.00258,-0.00258,NA
"37","600362.SH",0.0200859904119458,0,0.00138,-0.00138,NA
"38","600372.SH",0.0115916273193695,0,0.00071,-0.00071,NA
"39","600383.SH",0.00609105535993379,0,0.00248,-0.00248,NA
"40","600415.SH",0.0696719572114448,0,0.00098,-0.00098,NA
"41","600489.SH",0.0168172467526758,0,0.00137,-0.00137,NA
"42","600535.SH",0.0110245744113844,0,0.00164,-0.00164,NA
"43","600583.SH",0.021877491613459,0,0.00116,-0.00116,NA
"44","600585.SH",0.0302507942444239,0,0.0065,-0.0065,NA
"45","600588.SH",0,0,0.00231,-0.00231,NA
"46","600660.SH",0.0314594964892316,0,0.00326,-0.00326,NA
"47","600674.SH",0.0190119252214894,0,0.0016,-0.0016,NA
"48","600688.SH",0.0120022220464745,0,0.00114,-0.00114,NA
"49","600703.SH",0,0,0.0024,-0.0024,NA
"50","600741.SH",0,0,0.00319,-0.00319,NA
"51","600837.SH",0.024043785462925,0,0.00817,-0.00817,NA
"52","600887.SH",0,0,0.01471,-0.01471,NA
"53","600893.SH",0,0,0.00198,-0.00198,NA
"54","600999.SH",0.0442064009561582,0,0.00413,-0.00413,NA
"55","601006.SH",0.00624472274188505,0,0.00509,-0.00509,NA
"56","601009.SH",0,0,0.00415,-0.00415,NA
"57","601111.SH",0,0,0.00246,-0.00246,NA
"58","601169.SH",0,0,0.00885,-0.00885,NA
"59","601186.SH",0.041597218345614,0,0.00465,-0.00465,NA
"60","601333.SH",0.0200027390673935,0,0.00119,-0.00119,NA
"61","601601.SH",0.0260680399621967,0,0.0097,-0.0097,NA
"62","601607.SH",0.0186254487140385,0,0.00186,-0.00186,NA
"63","601628.SH",0.0161306911666302,0,0.0038,-0.0038,NA
"64","601668.SH",0.0359454843233607,0,0.01286,-0.01286,NA
"65","601688.SH",0.0461308498410928,0,0.00626,-0.00626,NA
"66","601800.SH",0.0393416421266001,0,0.0025,-0.0025,NA
"67","601818.SH",0.0114620099293857,0,0.00652,-0.00652,NA
"68","601899.SH",0,0,0.00361,-0.00361,NA
"69","601901.SH",0,0,0.00252,-0.00252,NA
"70","601933.SH",0,0,0.00309,-0.00309,NA
"71","601939.SH",0.0109969464031816,0,0.00475,-0.00475,NA
"72","601998.SH",0.0149867600585118,0,0.00175,-0.00175,NA
"73","603993.SH",0,0,0.00272,-0.00272,NA
