"","x"
"benchmark",9.42402169363964e-05
"金融行业",-4.27673443679308e-05
"房地产",0.000125307148167758
"综合行业",-3.89879382467401e-05
"电力行业",-5.11961175807458e-05
"机械行业",0.000386435958979828
"有色金属",-3.93364589882591e-05
"农林牧渔",-1.16335972955921e-05
"电子信息",2.696604081482e-05
"酒店旅游",1.93805991035135e-05
"家电行业",-1.95254700925177e-05
"传媒娱乐",0.000492888904099141
"汽车制造",2.52479055113576e-05
"发电设备",-8.42848036002146e-06
"水泥行业",2.58218963091802e-05
"商业百货",-1.83724248723054e-05
"电子器件",0.000693365448788816
"生物制药",5.76227561113091e-05
"农药化肥",7.6021740564716e-05
"酿酒行业",-6.28533526892714e-06
"环保行业",-4.88004816433871e-06
"化工行业",3.45556311046279e-05
"钢铁行业",0.000149993905765772
"化纤行业",0.000124369794305606
"煤炭行业",8.75870750939334e-05
"飞机制造",-1.71448715530949e-05
"建筑建材",0.000105976138622445
"食品行业",1.53650787701547e-05
"次新股",0
"NaN",1.79803733566456e-05
"仪器仪表",4.6780068624007e-05
"服装鞋类",-1.78664464840748e-05
"家具行业",1.44274389225851e-05
"交通运输",5.62663770605806e-05
"其它行业",6.37257341360364e-07
"印刷包装",-8.84499125225332e-05
"船舶制造",8.5845794716018e-05
"医疗器械",-9.42391401612088e-05
"石油行业",7.13124396333867e-05
"物资外贸",-6.66468637356527e-05
"塑料制品",0.00017230924434037
"玻璃行业",-8.53913836418793e-05
"公路桥梁",-0.000100273201380021
"电器行业",-5.88750096991697e-05
"开发区",0.000245874997481302
"供水供气",1.57204590115615e-05
"MOM",8.89215288189739e-06
"vol_volatility_1m",9.23357521304344e-06
"volatility_1m",6.45656148993495e-06
"pe",0.000178572458197506
"circ_mv",8.32335867988984e-05
"dv_ratio",-2.61435419488116e-06
"shibor_1m",0.000161114931057364
"shibor_6m",-6.76419981163349e-05
"libor_1m",2.9533358179524e-05
"libor_6m",2.89157138223788e-05
"shibor_lpr_1y",2.63614193931481e-06
