,symbol,Wgt_BM,Wgt_Port,Wgt_Act
0,600036.SH,0.03016,0.03854698702174338,0.008386987021743383
1,600048.SH,0.0092,0.0,-0.0092
2,600066.SH,0.00154,0.0,-0.00154
3,600068.SH,0.0017100000000000001,0.0,-0.0017100000000000001
4,600085.SH,0.00145,0.0,-0.00145
5,600089.SH,0.00261,0.0,-0.00261
6,600104.SH,0.00933,0.04532843995458628,0.035998439954586285
7,600109.SH,0.00185,0.0,-0.00185
8,600111.SH,0.00187,0.0,-0.00187
9,600115.SH,0.00198,0.0,-0.00198
10,600118.SH,0.00105,0.0,-0.00105
11,600031.SH,0.00498,0.0,-0.00498
12,600030.SH,0.01439,0.0,-0.01439
13,600000.SH,0.01261,0.0,-0.01261
14,600009.SH,0.00476,0.0,-0.00476
15,600010.SH,0.00268,0.0,-0.00268
16,600015.SH,0.00466,0.0,-0.00466
17,600016.SH,0.014790000000000001,0.0,-0.014790000000000001
18,600028.SH,0.00713,0.062184032409887256,0.05505403240988726
19,600029.SH,0.00245,0.0,-0.00245
20,600170.SH,0.0014199999999999998,0.0,-0.0014199999999999998
21,600177.SH,0.00191,0.0,-0.00191
22,601328.SH,0.01719,0.03236715192463482,0.015177151924634816
23,601398.SH,0.01222,0.09378970109614058,0.08156970109614059
24,601601.SH,0.0097,0.0,-0.0097
25,601607.SH,0.0018600000000000003,0.0,-0.0018600000000000003
26,601628.SH,0.0038,0.0,-0.0038
27,601668.SH,0.01286,0.0,-0.01286
28,601688.SH,0.00626,0.0,-0.00626
29,601333.SH,0.00119,0.0,-0.00119
30,601318.SH,0.0683,0.042658298253759254,-0.025641701746240746
31,601288.SH,0.014269999999999998,0.07599958410227199,0.061729584102271993
32,601111.SH,0.0024600000000000004,0.0,-0.0024600000000000004
33,601166.SH,0.02046,0.03699871587773778,0.01653871587773778
34,601169.SH,0.00885,0.0,-0.00885
35,601186.SH,0.0046500000000000005,0.0,-0.0046500000000000005
36,601800.SH,0.0025,0.0,-0.0025
37,601998.SH,0.0017499999999999998,0.0,-0.0017499999999999998
38,603993.SH,0.00272,0.0,-0.00272
39,600188.SH,0.00079,0.0,-0.00079
40,601988.SH,0.0077599999999999995,0.0587759761079495,0.0510159761079495
41,601818.SH,0.006520000000000001,0.0,-0.006520000000000001
42,601857.SH,0.0059299999999999995,0.036976716967346064,0.031046716967346066
43,601939.SH,0.00475,0.0,-0.00475
44,601899.SH,0.00361,0.0,-0.00361
45,601901.SH,0.00252,0.0,-0.00252
46,601933.SH,0.00309,0.0,-0.00309
47,600208.SH,0.00122,0.0,-0.00122
48,600383.SH,0.00248,0.0,-0.00248
49,600415.SH,0.00098,0.0,-0.00098
50,600489.SH,0.00137,0.0,-0.00137
51,600519.SH,0.03469,0.0934352567218202,0.0587452567218202
52,600535.SH,0.0016399999999999997,0.0,-0.0016399999999999997
53,600372.SH,0.0007099999999999999,0.0,-0.0007099999999999999
54,600196.SH,0.00234,0.0,-0.00234
55,600276.SH,0.01306,0.0,-0.01306
56,600340.SH,0.004920000000000001,0.0,-0.004920000000000001
57,600352.SH,0.0025800000000000003,0.0,-0.0025800000000000003
58,600362.SH,0.0013800000000000002,0.0,-0.0013800000000000002
59,600583.SH,0.00116,0.0,-0.00116
60,600887.SH,0.014709999999999999,0.0,-0.014709999999999999
61,600893.SH,0.00198,0.0,-0.00198
62,600999.SH,0.00413,0.0,-0.00413
63,601006.SH,0.00509,0.0,-0.00509
64,601009.SH,0.00415,0.0,-0.00415
65,600837.SH,0.00817,0.0,-0.00817
66,600585.SH,0.006500000000000001,0.0,-0.006500000000000001
67,600588.SH,0.00231,0.0,-0.00231
68,600660.SH,0.0032600000000000003,0.0,-0.0032600000000000003
69,600688.SH,0.00114,0.0,-0.00114
70,600674.SH,0.0016,0.0,-0.0016
71,600703.SH,0.0024,0.0,-0.0024
72,600741.SH,0.00319,0.0,-0.00319
